,body,target
0," Swimming enthusiast Yu Hongtao, 50, trained for months in the freezing water of the Songhua river to compete in a winter ice swimming tournament held annually in China’s northern city of Harbin, known for its bitterly cold weather. “You have to start swimming from autumn so that the body can conquer the sudden icy impact on one’s cardio-vascular system,” said Yu, a Harbin resident. “The feeling of diving into the water is very cool.” More than 300 men and women, wearing just ordinary trunks and swimsuits, on Saturday braved the bitter cold waters in the ice swimming meet, part of Harbin’s annual winter festival, among the biggest in the northern hemisphere. Temperatures can plunge as low as 35 degrees Celsius below zero (minus 31 F) in the city in China’s Heilongjiang province. The festival, which began on Saturday, has drawn millions of visitors from around the world every year since its inception in the early 1980s. Highlights include sled rides on the Songhua river, mass weddings, and towering sculptures of ice and snow carved by thousands of artists and workers. Visitors marvel at the mini ice replicas of the Colosseum and of the Milan Cathedral, particularly in the long evenings when soft, colored lights illuminate the sculptures. The festival also attracts hordes of domestic tourists. “The ice castles and sculptures made by workers are very impressive,” said Lin Renlong, who was visiting with his girlfriend. “It’s like Disneyland, Disneyland in winter,” said the 22-year-old from the northern province of Hebei.",0
1," North Korean leader Kim Jong Un and Chinese President Xi Jinping discussed an expected U.S.-North Korea summit in talks in Beijing on Tuesday, Yonhap news agency said, days after Kim warned he may take an alternative path if the United States does not ease sanctions. Kim’s visit to China, confirmed by North Korean and Chinese state media, comes amid plans for a second summit with U.S. President Donald Trump aimed at denuclearising the Korean peninsula. South Korea’s Yonhap, without identifying its sources, said the two leaders held talks for an hour in which they discussed the second U.S.-North Korea summit and strengthening bilateral ties. The meeting was followed by a dinner hosted by Xi and his wife, Yonhap said. Kim held three summits last year with Xi, his most important ally, before and after summits with Trump and South Korean President Moon Jae-in. Kim and Trump pledged to work towards denuclearisation at their landmark June summit in Singapore, but the agreement was short on specifics. Negotiations have made little headway since. “Kim is eager to remind the Trump administration that he does have diplomatic and economic options besides what Washington and Seoul can offer,” Harry J. Kazianis, Director of Defence Studies at the U.S.-based Centre for the National Interest, said in an e-mailed statement. “In fact, during his New Year’s Day speech, Kim’s ‘new way’ that he referred to may well have been a veiled threat to move closer to Beijing. That should make America quite concerned.” Kim left for China on a private train on Monday afternoon accompanied by his wife, Ri Sol Ju, and senior North Korean officials, including Kim Yong Chol, a key negotiator in talks with the United States, and foreign minister Ri Yong Ho, North Korea’s state-run KCNA news agency said. China’s official Xinhua news agency confirmed that Kim was visiting from Monday to Thursday at Xi’s invitation. The visit coincides with what South Korean officials say is Kim’s 35th birthday on Tuesday. Kim’s visit to North Korea’s most important economic and diplomatic ally follows reports of advanced negotiations for a second summit between Washington and Pyongyang aimed at resolving the standoff over North Korea’s nuclear and missile programmes. Kim said in his New Year speech he was ready to meet Trump any time to achieve their common goal of denuclearisation of the Korean peninsula. But he warned that he may seek an alternative path if U.S. sanctions and pressure against the country continued. In an interview with CNBC on Monday, U.S. Secretary of State Mike Pompeo praised China’s support for resolving the North Korean crisis and said he did not think the U.S. trade dispute with China would affect this. Kim’s visit comes as a U.S. delegation opened a second day of talks with Chinese counterparts in Beijing aimed at ending the trade war between the world’s two largest economies. “The Chinese have been very clear to us that these are separate issues,” Pompeo said. “Their behaviour has demonstrated that as well and we appreciate that. China has actually been a good partner in our efforts to reduce the risk to the world from North Korea’s nuclear capability; I expect they will continue to do so.” Chinese foreign ministry spokesman Lu Kang, asked during a daily briefing whether there was a connection between Kim’s visit and the possibility of another meeting between Kim and Trump, said China believed contact between the United States and North Korea was important. “China has always supported both sides to continue to hold talks and to reach a positive outcome,” Lu said. Shi Yinhong, an international relations professor at Renmin University in Beijing, said Kim’s trip would have no direct influence on the progress of trade talks. While no details were released about an agenda in China, Kim has been seeking relief from sanctions, a peace declaration to formally end the 1950-1953 Korean War and more investment. Ties between China and North Korea, which had frayed as Pyongyang stepped up its missile and nuclear tests up to late 2017, warmed over the past year as Kim engaged with China, South Korea and the United States.",0
2," Indonesia will launch a renewed search effort as early as Tuesday to find the cockpit voice recorder from a Lion Air jet that crashed into the Java Sea in October, the head of its accident investigation agency said. “If the weather is good, the ship will start to depart today,” National Transporation Safety Commission (KNKT) Chief Soerjanto Tjahjono told Reuters on Tuesday. The crash, the world’s first of a Boeing Co (BA.N) 737 MAX jet and the deadliest of 2018, killed all 189 people on board. Investigators last week said they planned to use a navy ship for a fresh search for the crashed jet’s second “black box” after a 10-day effort funded by Lion Air failed to find the cockpit voice recorder (CVR). A KNKT source, speaking on condition of anonymity, told Reuters the team will have seven days using the ship KRI Spica to find the CVR, which could hold vital clues giving investigators insight into the actions of the doomed jet’s pilots. Tjahjono declined to comment on whether there was a time limit on the search. Contact with flight JT610 was lost 13 minutes after it took off on Oct. 29 from the capital Jakarta heading north to the tin-mining town of Pangkal Pinang. The other black box, the flight data recorder, was recovered three days after the crash. A preliminary report by KNKT focussed on airline maintenance and training and the response of a Boeing anti-stall system to a recently replaced sensor but did not give a cause for the crash.",0
3," Myanmar government leader Aung San Suu Kyi discussed insurgent attacks on Myanmar police on Monday in a rare meeting with the military chief, and her administration called for the armed forces to “crush” the rebels, a government spokesman said. Fighting between government forces and the rebel Arakan Army in the western state of Rakhine has displaced thousands of people since early December, according to the United Nations. The Arakan Army wants greater autonomy for Rakhine, where the mainly Buddhist Rakhine ethnic group makes up the majority of the population. Rakhine State saw a military-led crackdown in 2017, following attacks by Rohingya Muslim insurgents that prompted hundreds of thousands of Rohingya to flee westwards into neighbouring Bangladesh. Myanmar government spokesman Zaw Htay said Suu Kyi, President Win Myint and other cabinet members met military leaders, including army chief Min Aung Hlaing, his deputy and the military intelligence chief, to discuss “foreign affairs and national security”. “The president’s office has instructed the military to launch an operation to crush the terrorists,” Zaw Htay told a news conference in the capital, Naypyitaw. While Suu Kyi is barred from being president by a military-drafted constitution, Win Myint is a loyalist. Suu Kyi is seen as de facto leader of the civilian government, while the military remains in charge of security. The insurgents killed 13 policemen and wounded nine in attacks on four police posts on Friday, as Myanmar celebrated Independence Day, state media reported. An Arakan Army spokesman outside Myanmar told Reuters last week the group attacked the security forces in response to a broad military offensive in northern Rakhine State that also targeted civilians. The U.N. Office for the Coordination of Humanitarian Affairs said on Monday that 4,500 people were sheltering in monasteries and communal spaces after being displaced by the fighting in the past month. Zaw Htay described the Arakan Army as a “terrorist organization” and said it had surprised security forces on guard against Rohingya insurgents. He said the Arakan Army could destabilise Rakhine State for years to come and warned people not to give it support. “Do they want to see a cycle of violence lasting decades?” he said. “I want to tell Rakhine people who are supporting (the Arakan Army): Don’t think about yourself, but think about your next generation.” Myanmar governments have battled various ethnic minority insurgent groups since shortly after independence from Britain in 1948, though some have struck ceasefire agreements. Zaw Htay also accused the Arakan Army of meeting the Arakan Rohingya Salvation Army, a group of Rohingya insurgents that Myanmar also considers terrorists but added that Myanmar was unable to eliminate the groups as they had bases across the border in Bangladesh. A Bangladeshi foreign ministry official and two Border Guards Bangladesh (BGB) officers denied the accusation. One BGB officer asked Myanmar to provide evidence of militant camps in Bangladesh. “All the terrorism is taking place on the other side of the border,” said Lieutenant Colonel Manzural Hasan Khan, a BGB commander in Cox’s Bazar, the district where more than 900,000 Rohingya Muslims are sheltering having fled bouts of violence that have drawn international condemnation against Myanmar. “The world knows what happened on the other side,” he said. The Myanmar government and military leaders also discussed a temporary ceasefire the military announced last month in other parts of the country, where other insurgent groups operate, Zaw Htay said. The meeting was held at the request of the president’s office, he said. This story has been refiled and clarifies in paragraph 7 that Suu Kyi, not Win Myint, is seen as de facto leader",0
4," France plans to introduce legislation to toughen sanctions on undeclared protests in response to violent “yellow-vest” demonstrations, Prime Minister Edouard Philippe said on Monday in a hardening of the government’s stance on the unrest. He spoke after rioters torched motorbikes and set barricades ablaze on Paris’s upmarket Boulevard Saint-Germain on Saturday, underscoring how protests against high living costs and President Emmanuel Macron have turned violent on the fringes. “We need to preserve the right to demonstrate in France and we must sanction those who break the law,” Philippe told TF1 television. “That’s why the government favours updating the law in order to sanction those who do not respect this obligation to declare protests, those who take part in undeclared protests, those who arrive at protests with balaclavas,” Philippe said. He said the government could model the new law on existing legislation against football hooligans whereby individuals can be banned from stadiums. It could be introduced as soon as February, he said. Philippe also said the “casseurs”, or thugs, who have brought disruption and destruction to Paris and other major cities where shops have been looted and banks vandalised would be forced to pay for the damage they cause. The latest “yellow vest” marches began peacefully but degenerated on Saturday afternoon as protesters threw missiles at riot police blocking bridges over the Seine. Officers fired tear gas to prevent protesters crossing the river and reaching the National Assembly. One riverboat restaurant was set ablaze and a policeman was wounded when he was hit by a bicycle hurled from a street above the river bank. Two months after they started blocking roads, occupying highway tollbooths and staging sometimes-violent street protests in Paris, the yellow vests aim to inject new momentum into a movement that weakened over the holidays.",0
5," The European Union is considering ways to help Prime Minister Theresa May convince the British parliament to back the Brexit treaty she agreed with EU leaders last month but ruled out on Monday any change to the deal. EU sources told Reuters that senior officials in Brussels are discussing whether and how to issue “reassurances” that might help May overcome resistance to the deal before lawmakers vote in London next week. U.S. Secretary of State Mike Pompeo told CNBC he hoped the EU and United Kingdom could find a way to avoid “negative ramifications from a hard Brexit related not only to commerce and trade, but importantly to the national security issues that we have with the British as well as the European Union.” Among the reassurances EU officials were considering was a request they said May put to fellow EU leaders at a summit before the Christmas break, on Dec. 14, to commit to having a new UK-EU free trade treaty in place by the end of 2021. However, the European Union shows no sign of going beyond an existing aspiration to do that, not a hard promise. The date is important as it could allow May to assure her own party and others that the unpopular “Irish backstop” in the treaty would not be triggered after a status-quo transition period ends some time by 2022. The backstop would bind Britain to follow EU rules to avoid a “hard” customs border across the island of Ireland unless a better way is agreed to do that by means of a new trade pact. Critics of May’s deal to smooth Britain’s passage out of the EU on March 29 say the backstop could leave Britain subject to EU rules indefinitely, long after it gives up any say over them. EU officials familiar with the discussions said they saw little sign of any shift in the position of EU leaders last month, when they said the agreement could not be renegotiated and they would make no binding commitments that could be construed as altering it. “We can provide reassurances,” one official said. “But whatever it might be will just reiterate the (summit) conclusions from last month.” Among ways in which the EU could offer more detail and clarity on its agreed position, officials said, would be an exchange of legal letters with the British government setting out expectations of when a trade deal could be completed. However, EU leaders are wary of introducing legal ambiguity if the language of any statement differs from the original text. The EU executive repeated on Monday that leaders would not renegotiate the treaty and said it was pressing on with planning for Britain to crash out of the Union without a deal. “The deal that is on the table is the best and the only deal possible,” the European Commission’s chief spokesman Margaritis Schinas told reporters when asked about a phone conversation on Friday between May and Commission President Jean-Claude Juncker. “This deal will not be renegotiated.” He also repeated that there were no talks planned between negotiators from the two sides as “negotiations are complete”. Schinas said that Juncker’s conversation with May on Friday was “friendly” and that the two would speak again this week. May also spoke last week to EU summit chair Donald Tusk.",0
6," Guatemala notified the United Nations it was terminating a U.N.-backed anti-graft commission on Tuesday, months ahead of schedule, accusing the body of abuses of power, and prompting a swift rebuke from the U.N. secretary-general. The International Commission Against Impunity in Guatemala, or CICIG, was set up over a decade ago with the authority to conduct independent investigations and work with the country’s prosecutors, bringing down the last president in 2015. The CICIG also went after President Jimmy Morales, who said in August he would not renew the organisation’s mandate, which was due to expire in September 2019. Days later, he banned CICIG head Ivan Velasquez, a hard-charging Colombian prosecutor, from re-entering the country. Working with the then-attorney general, CICIG tried to prosecute Morales, a former comedian, in 2017 over alleged campaign finance violations. That move followed separate CICIG corruption probes into members of the president’s family. Guatemalan Foreign Minister Sandra Jovel met with U.N. Secretary-General Antonio Guterres in New York on Monday and handed him a letter informing him of the government’s intention to end the agreement that had established CICIG. “It is regrettable that the Secretary-General, in a bid to maintain one person in the position, sacrificed the legitimacy of the commission,” Jovel told a news conference after the meeting, referring to Guterres’ decision to stand by Velasquez. “Therefore we reported to the Secretary-General that within 24 hours the agreement (that was struck to create CICIG) will be terminated by the Guatemalan government,” she said. Guterres “strongly rejects” the content of the letter, a spokesman for the secretary-general said in an emailed statement, adding that the United Nations expected Guatemala’s government to “fulfil its legal obligations under the agreement” until the CICIG mandate ends in September. “The Secretary-General recalls the important contribution of CICIG to the fight against impunity in Guatemala,” it said. Accompanied by prominent Guatemalans accused of wrongdoing by the CICIG, Morales told a news conference in Guatemala City he had ordered prosecutors to start investigating allegations that the commission had acted outside the law and abused its power. The foreign-led CICIG is unusual among U.N. bodies for its powers to bring cases to prosecutors, and many politicians in Guatemala consider it to be a violation of national sovereignty. Anti-corruption activists credit it with cleaning up government. Last month, Guatemala’s government revoked visas and immunity for 11 CICIG investigators and two relatives.",0
7," The leaders of Canada and the United States on Monday agreed to continue pressing Beijing to free two Canadian citizens who were detained after the arrest of a senior Chinese executive in Vancouver, Ottawa said. Canada wants the immediate release of Michael Kovrig and Michael Spavor, who were picked up after Canadian authorities arrested Huawei Technologies Co [HWT.UL] Chief Financial Officer Meng Wanzhou on Dec. 1 at the request of the United States. China denounced the move, and the affair is threatening to increase global tensions at a time when Washington and Beijing are already locked in a trade war. Canadian Prime Minister Justin Trudeau spoke to U.S. President Donald Trump on Monday and thanked him for “the strong statements of support by the United States” in response to the detentions of the two men, Trudeau’s office said in a statement. “The two leaders agreed to continue to seek their release,” the statement said. In a separate statement, the White House said that Trump and Trudeau “discussed the unlawful detention of two Canadian citizens in China.” It gave no details. Although Canada says China has made no specific link between the detentions and Meng’s arrest, experts and former diplomats say they have no doubt Beijing is using the cases of Kovrig and Spavor to pressure Ottawa. Beijing insists the charges against Meng be dropped, but Canada says it cannot interfere with the judicial process. Canadian Foreign Minister Chrystia Freeland reacted unhappily last month after Trump suggested he could waive the request to have Meng sent to the United States in return for progress on a bilateral trade deal with China. She said the extradition process should not be politicized. Trudeau’s office said the two leaders had discussed the U.S. request and “reaffirmed the importance of respecting judicial independence and the rule of law.” The China Daily newspaper on Monday published a commentary saying Canada “could lose the trust and cooperation of most developing countries” over the matter. “By continuing to follow the U.S., either passively or actively, Canada will eventually harm its national interests,” said the commentary by Li Qingsi, a professor on international studies at Renmin University. Earlier in the day, a group of legislators from Canada on a visit to China pressed authorities to release Spavor and Kovrig but had little success, the Canadian Broadcasting Corp reported.",0
8," Aiming to bolster his case for a wall along the U.S. border with Mexico, President Donald Trump said on Monday he would make a prime-time televised address and visit the border this week as the government marked its 17th day of a partial shutdown. Democrats, who now control the U.S. House of Representatives, have rejected Trump’s demand for $5.7 billion (4.5 billion pounds) to help build a wall. Without a deal on that sticking point, talks to fund the government have stalled. Vice President Mike Pence said Trump had not made a decision about his threat to declare a national emergency and build a wall without congressional approval. Asked about the possibility of legal challenges and whether the White House counsel’s office had reviewed the matter thoroughly, Pence told reporters: “They’re looking at it, and the president is considering it.” Trump’s speech, planned for 9 p.m. on Tuesday (0200 GMT Wednesday) and the border trip on Thursday underscored his resolve not to back off his 2016 campaign promise to build a wall that he believes will stem illegal immigration and drug trafficking. He promised during the campaign that Mexico would pay for the wall. Mexico has refused to do so. All the major U.S. television networks agreed to air Trump’s speech. Democrats in Congress, who say a wall would be expensive, inefficient and immoral, called for the networks to grant them equal time in a joint statement issued by House Speaker Nancy Pelosi and Senate Democratic leader Chuck Schumer. “Now that the television networks have decided to air the President’s address, which if his past statements are any indication will be full of malice and misinformation, Democrats must immediately be given equal airtime,” the statement said. Pressure to reach a deal to end the shutdown is likely to grow as its effects are increasingly felt, including possible cuts in food stamp programs for the poor. The acting director of the White House’s Office of Management and Budget, Russ Vought, said tax refunds would be distributed despite the shutdown. White House spokeswoman Sarah Sanders announced the border trip on Twitter without providing details. The visit will likely highlight security concerns pushed by the administration as justification for the wall. “The president’s position is: There is a crisis at the southern border, and Democrats are refusing to negotiate,” Pence said. The emphasis on a “crisis” could be the administration’s attempt to lay the groundwork for a potential emergency declaration. Such a decision would almost certainly face a legal challenge. Trump has tried to link terrorism to illegal immigration, without providing evidence, as justification for the plan. Democrats say there has been no evidence of suspected terrorists coming through the southern border and that Trump has no grounds to declare a national emergency over the issue. Large chunks of the federal government shut down on Dec. 22 over Trump’s demand that a bill to keep the federal government operational include more than $5 billion to pay for what he has now said would be a steel structure to protect the border. About 800,000 government workers are furloughed or working without pay. Pence said Trump also invited Democrats back to the White House to respond to its latest proposal to resolve the standoff over legislation to fund the government. The vice president, who participated in weekend discussions on the shutdown, said Democratic staff said there would be no negotiations until the government is reopened. Trump said in December he would be “proud” to shut the government down over the wall and told lawmakers last week it could last months. The president skipped a planned trip to Florida to stay in Washington during the Christmas and New Year’s holidays after the partial shutdown began. He exhorted Democrats in Congress to “come back from vacation” and approve funding for his wall. Democrats returned to Washington in the new year, taking control of the House, and passed legislation to reopen all closed government agencies but did not include wall funding. This week, they will pass a series of bills to reopen federal agencies. Secretary of Homeland Security Kirstjen Nielsen told reporters in a briefing on Monday that terrorists had crossed the border into the United States but that information about the number of such incidents was sensitive or classified. Democrats say other border security measures are more efficient and cost-effective than a wall, which they say is contrary to American values.",0
9," Police arrested a 47-year-old man on Monday for allegedly shooting dead three people and wounding four others in a brawl at a Los Angeles area bowling alley and said he had served a 17-year prison sentence for assault with a firearm. The shooting shortly before midnight on Friday in the suburban community of Torrance triggered a manhunt for the suspect, who was identified as Reginald Wallace. “At this time, we believe we have the sole shooter in this incident,” Torrance police chief Eve Irvine said at a news conference. Wallace, a resident of Los Angeles, has not been formally charged in the shooting and it was not immediately clear if he had obtained an attorney. SPONSORED He was released from a California prison in 2017 after serving a 17-year sentence for assault with a firearm and was on parole for that crime, Irvine said. The shooting followed an argument between two men at Gable House Bowl about 20 miles (30 km) south of downtown Los Angeles that grew into a melee with at least 10 people involved. Wallace pulled a handgun from his pocket and shot into the crowd, Irvine said. The bowling alley provided video which helped lead police to the suspect, who surrendered peacefully when he was approached by heavily armed police in Los Angeles, Irvine said. He was being held without bail in a county jail. The shooting was a “senseless act of violence”, the police chief said.",0
